feedback_id,feedback_text,sentiment_label
FB_00025,This internship exceeded my expectations. The mentor support was particularly valuable for my career development.,positive
FB_00026,My mentor was excellent guide. The Software Engineering team provided excellent guidance throughout the program.,positive
FB_00027,I would highly recommend this program to others. The project variety made it a wonderful experience.,positive
FB_00028,The program was acceptable. I learned some skills in Python programming during my time here.,neutral
FB_00029,The company culture is supportive and growth-oriented. I felt supported and valued during my time here.,positive
FB_00030,There were several issues with the program. The project planning needs to be addressed for future interns.,negative
FB_00031,It was a standard internship experience. I completed my assignments in Software Engineering.,neutral
FB_00032,It was a standard internship experience. I completed my assignments in Business Analytics.,neutral
FB_00033,The internship was standard. I worked on machine learning models and gained experience in project management.,neutral
FB_00034,The company culture is dynamic and exciting. I felt supported and valued during my time here.,positive
FB_00035,My mentor was very knowledgeable. The Data Science team provided excellent guidance throughout the program.,positive
FB_00036,The program was acceptable. I learned some skills in team collaboration during my time here.,neutral
FB_00037,The internship provided adequate learning opportunities. The mentor support was as expected.,neutral
FB_00038,My mentor was always available. The Software Engineering team provided excellent guidance throughout the program.,positive
FB_00039,The company culture is dynamic and exciting. I felt supported and valued during my time here.,positive
FB_00040,I would highly recommend this program to others. The mentor support made it a wonderful experience.,positive
FB_00041,I would highly recommend this program to others. The team environment made it a wonderful experience.,positive
FB_00042,It was a standard internship experience. I completed my assignments in UX Design.,neutral
FB_00043,My experience was satisfactory. The Research program met the basic expectations.,neutral
FB_00044,My experience was satisfactory. The Research program met the basic expectations.,neutral
FB_00045,"The UX Design program needs improvement. Specifically, the project assignments was disappointing.",negative
FB_00046,This internship exceeded my expectations. The learning opportunities was particularly valuable for my career development.,positive
FB_00047,I would highly recommend this program to others. The project variety made it a wonderful experience.,positive
FB_00048,I would highly recommend this program to others. The company culture made it a wonderful experience.,positive
FB_00049,My mentor was excellent guide. The UX Design team provided excellent guidance throughout the program.,positive
FB_00050,The company culture is supportive and growth-oriented. I felt supported and valued during my time here.,positive
FB_00051,The company culture is supportive and growth-oriented. I felt supported and valued during my time here.,positive
FB_00052,This internship exceeded my expectations. The team environment was particularly valuable for my career development.,positive
FB_00053,My experience was below expectations. The limited learning opportunities affected my learning significantly.,negative
FB_00054,My mentor was great teacher. The Business Analytics team provided excellent guidance throughout the program.,positive
FB_00055,The internship experience was impressive. I really enjoyed working on machine learning models and learned so much about Python programming.,positive
FB_00056,It was a standard internship experience. I completed my assignments in UX Design.,neutral
FB_00057,My experience was satisfactory. The Research program met the basic expectations.,neutral
FB_00058,The internship provided adequate learning opportunities. The mentor support was as expected.,neutral
FB_00059,This internship exceeded my expectations. The company culture was particularly valuable for my career development.,positive
FB_00060,The company culture is supportive and growth-oriented. I felt supported and valued during my time here.,positive
FB_00061,This internship exceeded my expectations. The project variety was particularly valuable for my career development.,positive
FB_00062,My mentor was excellent guide. The Business Analytics team provided excellent guidance throughout the program.,positive
FB_00063,The company culture is inclusive and welcoming. I felt supported and valued during my time here.,positive
FB_00064,It was a standard internship experience. I completed my assignments in Data Science.,neutral
FB_00065,My mentor was great teacher. The Software Engineering team provided excellent guidance throughout the program.,positive
FB_00066,This internship exceeded my expectations. The project variety was particularly valuable for my career development.,positive
FB_00067,It was a standard internship experience. I completed my assignments in Research.,neutral
FB_00068,I would highly recommend this program to others. The project variety made it a wonderful experience.,positive
FB_00069,The company culture is inclusive and welcoming. I felt supported and valued during my time here.,positive
FB_00070,The internship experience was exceptionally valuable. I really enjoyed working on user research and learned so much about data visualization.,positive
FB_00071,My mentor was excellent guide. The Software Engineering team provided excellent guidance throughout the program.,positive
FB_00072,I would highly recommend this program to others. The team environment made it a wonderful experience.,positive
FB_00073,I would highly recommend this program to others. The company culture made it a wonderful experience.,positive
FB_00074,The company culture is collaborative and innovative. I felt supported and valued during my time here.,positive
FB_00075,My experience was satisfactory. The Research program met the basic expectations.,neutral
FB_00076,My experience was satisfactory. The Marketing program met the basic expectations.,neutral
FB_00077,This internship exceeded my expectations. The mentor support was particularly valuable for my career development.,positive
FB_00078,This internship exceeded my expectations. The team environment was particularly valuable for my career development.,positive
FB_00079,I would highly recommend this program to others. The learning opportunities made it a wonderful experience.,positive
FB_00080,This internship exceeded my expectations. The mentor support was particularly valuable for my career development.,positive
FB_00081,My mentor was great teacher. The Software Engineering team provided excellent guidance throughout the program.,positive
FB_00082,The company culture is collaborative and innovative. I felt supported and valued during my time here.,positive
FB_00083,The program was acceptable. I learned some skills in data visualization during my time here.,neutral
FB_00084,My experience was satisfactory. The Data Science program met the basic expectations.,neutral
FB_00085,The program was acceptable. I learned some skills in team collaboration during my time here.,neutral
FB_00086,It was a standard internship experience. I completed my assignments in Data Science.,neutral
FB_00087,This internship exceeded my expectations. The team environment was particularly valuable for my career development.,positive
FB_00088,I would highly recommend this program to others. The team environment made it a wonderful experience.,positive
FB_00089,This internship exceeded my expectations. The company culture was particularly valuable for my career development.,positive
FB_00090,There were several issues with the program. The workload distribution needs to be addressed for future interns.,negative
FB_00091,The internship experience was fantastic. I really enjoyed working on business analysis and learned so much about data visualization.,positive
FB_00092,My mentor was extremely supportive. The Marketing team provided excellent guidance throughout the program.,positive
FB_00093,This internship exceeded my expectations. The learning opportunities was particularly valuable for my career development.,positive
FB_00094,I would highly recommend this program to others. The learning opportunities made it a wonderful experience.,positive
FB_00095,The company culture is collaborative and innovative. I felt supported and valued during my time here.,positive
FB_00096,The company culture is dynamic and exciting. I felt supported and valued during my time here.,positive
FB_00097,I would highly recommend this program to others. The company culture made it a wonderful experience.,positive
FB_00098,I would highly recommend this program to others. The team environment made it a wonderful experience.,positive
FB_00099,My mentor was very knowledgeable. The Software Engineering team provided excellent guidance throughout the program.,positive
FB_00100,The company culture is supportive and growth-oriented. I felt supported and valued during my time here.,positive
FB_00101,The internship experience was wonderful. I really enjoyed working on business analysis and learned so much about Python programming.,positive
FB_00102,I would highly recommend this program to others. The team environment made it a wonderful experience.,positive
FB_00103,The internship provided adequate learning opportunities. The learning opportunities was as expected.,neutral
FB_00104,This internship exceeded my expectations. The company culture was particularly valuable for my career development.,positive
FB_00105,The program was acceptable. I learned some skills in Python programming during my time here.,neutral
FB_00106,This internship exceeded my expectations. The company culture was particularly valuable for my career development.,positive
FB_00107,I would not recommend this internship. The management style made it difficult to benefit fully.,negative
FB_00108,My mentor was very knowledgeable. The Business Analytics team provided excellent guidance throughout the program.,positive
FB_00109,It was a standard internship experience. I completed my assignments in Business Analytics.,neutral
FB_00110,My mentor was extremely supportive. The UX Design team provided excellent guidance throughout the program.,positive
FB_00111,The company culture is supportive and growth-oriented. I felt supported and valued during my time here.,positive
FB_00112,This internship exceeded my expectations. The team environment was particularly valuable for my career development.,positive
FB_00113,The internship experience was extremely rewarding. I really enjoyed working on marketing campaigns and learned so much about data visualization.,positive
FB_00114,It was a standard internship experience. I completed my assignments in UX Design.,neutral
FB_00115,My mentor was great teacher. The Marketing team provided excellent guidance throughout the program.,positive
FB_00116,The internship experience was wonderful. I really enjoyed working on software development and learned so much about data analysis.,positive
FB_00117,It was a standard internship experience. I completed my assignments in Software Engineering.,neutral
FB_00118,There were several issues with the program. The workload distribution needs to be addressed for future interns.,negative
FB_00119,It was a standard internship experience. I completed my assignments in Marketing.,neutral
FB_00120,My mentor was extremely supportive. The Data Science team provided excellent guidance throughout the program.,positive
FB_00121,This internship exceeded my expectations. The learning opportunities was particularly valuable for my career development.,positive
FB_00122,The internship was acceptable. I worked on data analysis projects and gained experience in data visualization.,neutral
FB_00123,The internship experience was impressive. I really enjoyed working on software development and learned so much about technical writing.,positive
FB_00124,This internship exceeded my expectations. The team environment was particularly valuable for my career development.,positive
FB_00125,The internship provided adequate learning opportunities. The mentor support was as expected.,neutral
FB_00126,My experience was satisfactory. The Data Science program met the basic expectations.,neutral
FB_00127,I would highly recommend this program to others. The project variety made it a wonderful experience.,positive
FB_00128,My mentor was great teacher. The Business Analytics team provided excellent guidance throughout the program.,positive
FB_00129,The internship provided adequate learning opportunities. The mentor support was as expected.,neutral
FB_00130,The company culture is inclusive and welcoming. I felt supported and valued during my time here.,positive
FB_00131,I would highly recommend this program to others. The project variety made it a wonderful experience.,positive
FB_00132,This internship exceeded my expectations. The team environment was particularly valuable for my career development.,positive
FB_00133,My mentor was excellent guide. The UX Design team provided excellent guidance throughout the program.,positive
FB_00134,I would not recommend this internship. The management style made it difficult to benefit fully.,negative
FB_00135,The company culture is dynamic and exciting. I felt supported and valued during my time here.,positive
FB_00136,This internship exceeded my expectations. The project variety was particularly valuable for my career development.,positive
FB_00137,This internship exceeded my expectations. The mentor support was particularly valuable for my career development.,positive
FB_00138,The company culture is collaborative and innovative. I felt supported and valued during my time here.,positive
FB_00139,The company culture is inclusive and welcoming. I felt supported and valued during my time here.,positive
FB_00140,The program was acceptable. I learned some skills in data analysis during my time here.,neutral
FB_00141,"Unfortunately, the internship was difficult. I faced challenges with communication gaps.",negative
FB_00142,The internship was acceptable. I worked on business analysis and gained experience in data visualization.,neutral
FB_00143,This internship exceeded my expectations. The mentor support was particularly valuable for my career development.,positive
FB_00144,The company culture is dynamic and exciting. I felt supported and valued during my time here.,positive
FB_00145,I would highly recommend this program to others. The company culture made it a wonderful experience.,positive
FB_00146,My mentor was excellent guide. The Research team provided excellent guidance throughout the program.,positive
FB_00147,This internship exceeded my expectations. The learning opportunities was particularly valuable for my career development.,positive
FB_00148,I would highly recommend this program to others. The company culture made it a wonderful experience.,positive
FB_00149,My mentor was extremely supportive. The Research team provided excellent guidance throughout the program.,positive
FB_00150,My mentor was excellent guide. The Marketing team provided excellent guidance throughout the program.,positive
FB_00151,"Unfortunately, the internship was unsatisfactory. I faced challenges with mentor availability.",negative
FB_00152,The internship experience was excellent. I really enjoyed working on marketing campaigns and learned so much about data visualization.,positive
FB_00153,The company culture is collaborative and innovative. I felt supported and valued during my time here.,positive
FB_00154,"Unfortunately, the internship was disappointing. I faced challenges with resource allocation.",negative
FB_00155,The internship experience was great. I really enjoyed working on user research and learned so much about Python programming.,positive
FB_00156,This internship exceeded my expectations. The company culture was particularly valuable for my career development.,positive
FB_00157,I would highly recommend this program to others. The project variety made it a wonderful experience.,positive
FB_00158,The company culture is inclusive and welcoming. I felt supported and valued during my time here.,positive
FB_00159,My mentor was extremely supportive. The Software Engineering team provided excellent guidance throughout the program.,positive
FB_00160,The internship experience was outstanding. I really enjoyed working on machine learning models and learned so much about Python programming.,positive
FB_00161,The company culture is collaborative and innovative. I felt supported and valued during my time here.,positive
FB_00162,This internship exceeded my expectations. The project variety was particularly valuable for my career development.,positive
FB_00163,My experience was satisfactory. The Software Engineering program met the basic expectations.,neutral
FB_00164,I would highly recommend this program to others. The project variety made it a wonderful experience.,positive
FB_00165,My experience was satisfactory. The Business Analytics program met the basic expectations.,neutral
FB_00166,My experience was satisfactory. The Software Engineering program met the basic expectations.,neutral
FB_00167,I would highly recommend this program to others. The company culture made it a wonderful experience.,positive
FB_00168,The internship provided adequate learning opportunities. The learning opportunities was as expected.,neutral
FB_00169,It was a standard internship experience. I completed my assignments in Marketing.,neutral
FB_00170,The internship experience was extremely rewarding. I really enjoyed working on data analysis projects and learned so much about team collaboration.,positive
FB_00171,The program was acceptable. I learned some skills in team collaboration during my time here.,neutral
FB_00172,"Unfortunately, the internship was stressful. I faced challenges with mentor availability.",negative
FB_00173,This internship exceeded my expectations. The mentor support was particularly valuable for my career development.,positive
FB_00174,My mentor was great teacher. The UX Design team provided excellent guidance throughout the program.,positive
FB_00175,There were several issues with the program. The workload distribution needs to be addressed for future interns.,negative
FB_00176,The company culture is collaborative and innovative. I felt supported and valued during my time here.,positive
FB_00177,The company culture is dynamic and exciting. I felt supported and valued during my time here.,positive
FB_00178,The internship was fine. I worked on marketing campaigns and gained experience in data visualization.,neutral
FB_00179,The internship experience was exceptionally valuable. I really enjoyed working on data analysis projects and learned so much about project management.,positive
FB_00180,The internship experience was exceptionally valuable. I really enjoyed working on marketing campaigns and learned so much about technical writing.,positive
FB_00181,"The Research program needs improvement. Specifically, the project assignments was disappointing.",negative
FB_00182,This internship exceeded my expectations. The team environment was particularly valuable for my career development.,positive
FB_00183,The company culture is collaborative and innovative. I felt supported and valued during my time here.,positive
FB_00184,My experience was below expectations. The insufficient mentorship affected my learning significantly.,negative
FB_00185,The program was acceptable. I learned some skills in team collaboration during my time here.,neutral
FB_00186,This internship exceeded my expectations. The mentor support was particularly valuable for my career development.,positive
FB_00187,This internship exceeded my expectations. The learning opportunities was particularly valuable for my career development.,positive
FB_00188,The internship provided adequate learning opportunities. The learning opportunities was as expected.,neutral
FB_00189,My experience was satisfactory. The Research program met the basic expectations.,neutral
FB_00190,My mentor was extremely supportive. The Marketing team provided excellent guidance throughout the program.,positive
FB_00191,The internship was acceptable. I worked on machine learning models and gained experience in data visualization.,neutral
FB_00192,I would highly recommend this program to others. The company culture made it a wonderful experience.,positive
FB_00193,The program was acceptable. I learned some skills in data visualization during my time here.,neutral
FB_00194,I would highly recommend this program to others. The project variety made it a wonderful experience.,positive
FB_00195,The internship provided adequate learning opportunities. The learning opportunities was as expected.,neutral
FB_00196,My mentor was great teacher. The Software Engineering team provided excellent guidance throughout the program.,positive
FB_00197,The internship was typical. I worked on software development and gained experience in data visualization.,neutral
FB_00198,My mentor was always available. The Research team provided excellent guidance throughout the program.,positive
FB_00199,It was a standard internship experience. I completed my assignments in Business Analytics.,neutral
FB_00200,My mentor was always available. The Software Engineering team provided excellent guidance throughout the program.,positive
FB_00201,The company culture is supportive and growth-oriented. I felt supported and valued during my time here.,positive
FB_00202,This internship exceeded my expectations. The mentor support was particularly valuable for my career development.,positive
FB_00203,I would highly recommend this program to others. The project variety made it a wonderful experience.,positive
FB_00204,My experience was below expectations. The poor work-life balance affected my learning significantly.,negative
FB_00205,I would highly recommend this program to others. The company culture made it a wonderful experience.,positive
FB_00206,The internship experience was excellent. I really enjoyed working on data analysis projects and learned so much about Python programming.,positive
FB_00207,The internship provided adequate learning opportunities. The mentor support was as expected.,neutral
FB_00208,It was a standard internship experience. I completed my assignments in Research.,neutral
FB_00209,This internship exceeded my expectations. The mentor support was particularly valuable for my career development.,positive
FB_00210,My mentor was extremely supportive. The Marketing team provided excellent guidance throughout the program.,positive
FB_00211,My mentor was great teacher. The Business Analytics team provided excellent guidance throughout the program.,positive
FB_00212,The company culture is collaborative and innovative. I felt supported and valued during my time here.,positive
FB_00213,My experience was satisfactory. The Data Science program met the basic expectations.,neutral
FB_00214,The company culture is inclusive and welcoming. I felt supported and valued during my time here.,positive
FB_00215,This internship exceeded my expectations. The project variety was particularly valuable for my career development.,positive
FB_00216,The company culture is inclusive and welcoming. I felt supported and valued during my time here.,positive
FB_00217,My experience was satisfactory. The Data Science program met the basic expectations.,neutral
FB_00218,My mentor was always available. The Research team provided excellent guidance throughout the program.,positive
FB_00219,The company culture is inclusive and welcoming. I felt supported and valued during my time here.,positive
FB_00220,My mentor was very knowledgeable. The UX Design team provided excellent guidance throughout the program.,positive
FB_00221,The internship was acceptable. I worked on software development and gained experience in technical writing.,neutral
FB_00222,This internship exceeded my expectations. The team environment was particularly valuable for my career development.,positive
FB_00223,My experience was satisfactory. The Business Analytics program met the basic expectations.,neutral
FB_00224,The internship provided adequate learning opportunities. The learning opportunities was as expected.,neutral
FB_00225,This internship exceeded my expectations. The company culture was particularly valuable for my career development.,positive
FB_00226,This internship exceeded my expectations. The team environment was particularly valuable for my career development.,positive
FB_00227,My mentor was extremely supportive. The Business Analytics team provided excellent guidance throughout the program.,positive
FB_00228,The internship provided adequate learning opportunities. The mentor support was as expected.,neutral
FB_00229,My mentor was great teacher. The Data Science team provided excellent guidance throughout the program.,positive
FB_00230,I would highly recommend this program to others. The learning opportunities made it a wonderful experience.,positive
FB_00231,The internship provided adequate learning opportunities. The learning opportunities was as expected.,neutral
FB_00232,My mentor was extremely supportive. The UX Design team provided excellent guidance throughout the program.,positive
FB_00233,My mentor was extremely supportive. The Marketing team provided excellent guidance throughout the program.,positive
FB_00234,My mentor was extremely supportive. The Business Analytics team provided excellent guidance throughout the program.,positive
FB_00235,The internship provided adequate learning opportunities. The learning opportunities was as expected.,neutral
FB_00236,The company culture is collaborative and innovative. I felt supported and valued during my time here.,positive
FB_00237,The company culture is supportive and growth-oriented. I felt supported and valued during my time here.,positive
FB_00238,The company culture is supportive and growth-oriented. I felt supported and valued during my time here.,positive
FB_00239,I would not recommend this internship. The team dynamics made it difficult to benefit fully.,negative
FB_00240,The internship experience was impressive. I really enjoyed working on user research and learned so much about technical writing.,positive
FB_00241,My experience was satisfactory. The Software Engineering program met the basic expectations.,neutral
FB_00242,The internship was adequate. I worked on user research and gained experience in team collaboration.,neutral
FB_00243,My experience was satisfactory. The UX Design program met the basic expectations.,neutral
FB_00244,The internship experience was great. I really enjoyed working on data analysis projects and learned so much about project management.,positive
FB_00245,My mentor was always available. The Data Science team provided excellent guidance throughout the program.,positive
FB_00246,The internship experience was highly beneficial. I really enjoyed working on data analysis projects and learned so much about project management.,positive
FB_00247,I would highly recommend this program to others. The mentor support made it a wonderful experience.,positive
FB_00248,My mentor was extremely supportive. The Marketing team provided excellent guidance throughout the program.,positive
FB_00249,The company culture is inclusive and welcoming. I felt supported and valued during my time here.,positive
FB_00250,"The UX Design program needs improvement. Specifically, the project assignments was disappointing.",negative
FB_00251,"Unfortunately, the internship was frustrating. I faced challenges with mentor availability.",negative
FB_00252,I would highly recommend this program to others. The learning opportunities made it a wonderful experience.,positive
FB_00253,The company culture is dynamic and exciting. I felt supported and valued during my time here.,positive
FB_00254,I would highly recommend this program to others. The team environment made it a wonderful experience.,positive
FB_00255,I would highly recommend this program to others. The mentor support made it a wonderful experience.,positive
FB_00256,My mentor was excellent guide. The Marketing team provided excellent guidance throughout the program.,positive
FB_00257,The internship experience was excellent. I really enjoyed working on data analysis projects and learned so much about project management.,positive
FB_00258,I would highly recommend this program to others. The mentor support made it a wonderful experience.,positive
FB_00259,My experience was satisfactory. The Data Science program met the basic expectations.,neutral
FB_00260,My mentor was always available. The Research team provided excellent guidance throughout the program.,positive
FB_00261,The company culture is supportive and growth-oriented. I felt supported and valued during my time here.,positive
FB_00262,This internship exceeded my expectations. The team environment was particularly valuable for my career development.,positive
FB_00263,It was a standard internship experience. I completed my assignments in Research.,neutral
FB_00264,It was a standard internship experience. I completed my assignments in Research.,neutral
FB_00265,My mentor was always available. The Research team provided excellent guidance throughout the program.,positive
FB_00266,The internship experience was impressive. I really enjoyed working on business analysis and learned so much about technical writing.,positive
FB_00267,My experience was below expectations. The unclear expectations affected my learning significantly.,negative
FB_00268,My mentor was extremely supportive. The Data Science team provided excellent guidance throughout the program.,positive
FB_00269,The company culture is collaborative and innovative. I felt supported and valued during my time here.,positive
FB_00270,I would highly recommend this program to others. The team environment made it a wonderful experience.,positive
FB_00271,I would highly recommend this program to others. The mentor support made it a wonderful experience.,positive
FB_00272,The internship experience was highly beneficial. I really enjoyed working on machine learning models and learned so much about project management.,positive
FB_00273,The internship experience was great. I really enjoyed working on marketing campaigns and learned so much about team collaboration.,positive
FB_00274,The internship experience was great. I really enjoyed working on machine learning models and learned so much about technical writing.,positive
FB_00275,I would highly recommend this program to others. The project variety made it a wonderful experience.,positive
FB_00276,I would highly recommend this program to others. The mentor support made it a wonderful experience.,positive
FB_00277,This internship exceeded my expectations. The project variety was particularly valuable for my career development.,positive
FB_00278,The internship experience was wonderful. I really enjoyed working on marketing campaigns and learned so much about data visualization.,positive
FB_00279,My mentor was great teacher. The Research team provided excellent guidance throughout the program.,positive
FB_00280,My experience was satisfactory. The Business Analytics program met the basic expectations.,neutral
FB_00281,The program was acceptable. I learned some skills in data analysis during my time here.,neutral
FB_00282,I would highly recommend this program to others. The company culture made it a wonderful experience.,positive
FB_00283,This internship exceeded my expectations. The company culture was particularly valuable for my career development.,positive
FB_00284,I would highly recommend this program to others. The learning opportunities made it a wonderful experience.,positive
FB_00285,It was a standard internship experience. I completed my assignments in Business Analytics.,neutral
FB_00286,My mentor was great teacher. The UX Design team provided excellent guidance throughout the program.,positive
FB_00287,This internship exceeded my expectations. The learning opportunities was particularly valuable for my career development.,positive
FB_00288,The internship was typical. I worked on user research and gained experience in data analysis.,neutral
FB_00289,"The Business Analytics program needs improvement. Specifically, the project assignments was disappointing.",negative
FB_00290,The internship provided adequate learning opportunities. The mentor support was as expected.,neutral
FB_00291,The program was acceptable. I learned some skills in data visualization during my time here.,neutral
FB_00292,This internship exceeded my expectations. The company culture was particularly valuable for my career development.,positive
FB_00293,This internship exceeded my expectations. The team environment was particularly valuable for my career development.,positive
FB_00294,The program was acceptable. I learned some skills in data analysis during my time here.,neutral
FB_00295,This internship exceeded my expectations. The team environment was particularly valuable for my career development.,positive
FB_00296,The internship experience was truly amazing. I really enjoyed working on software development and learned so much about data analysis.,positive
FB_00297,This internship exceeded my expectations. The learning opportunities was particularly valuable for my career development.,positive
FB_00298,This internship exceeded my expectations. The company culture was particularly valuable for my career development.,positive
FB_00299,This internship exceeded my expectations. The company culture was particularly valuable for my career development.,positive
FB_00300,The internship experience was highly beneficial. I really enjoyed working on marketing campaigns and learned so much about technical writing.,positive
FB_00301,The internship experience was exceptionally valuable. I really enjoyed working on software development and learned so much about technical writing.,positive
FB_00302,The internship was acceptable. I worked on data analysis projects and gained experience in team collaboration.,neutral
FB_00303,The internship provided adequate learning opportunities. The mentor support was as expected.,neutral
FB_00304,The program was acceptable. I learned some skills in Python programming during my time here.,neutral
FB_00305,The internship experience was excellent. I really enjoyed working on software development and learned so much about technical writing.,positive
FB_00306,The internship experience was great. I really enjoyed working on business analysis and learned so much about data visualization.,positive
FB_00307,My experience was below expectations. The unclear expectations affected my learning significantly.,negative
FB_00308,The internship experience was great. I really enjoyed working on user research and learned so much about data analysis.,positive
FB_00309,My mentor was very knowledgeable. The Marketing team provided excellent guidance throughout the program.,positive
FB_00310,This internship exceeded my expectations. The team environment was particularly valuable for my career development.,positive
FB_00311,This internship exceeded my expectations. The mentor support was particularly valuable for my career development.,positive
FB_00312,The internship was expected. I worked on machine learning models and gained experience in Python programming.,neutral
FB_00313,The internship provided adequate learning opportunities. The mentor support was as expected.,neutral
FB_00314,The program was acceptable. I learned some skills in data visualization during my time here.,neutral
FB_00315,I would highly recommend this program to others. The mentor support made it a wonderful experience.,positive
FB_00316,My experience was below expectations. The insufficient mentorship affected my learning significantly.,negative
FB_00317,This internship exceeded my expectations. The project variety was particularly valuable for my career development.,positive
FB_00318,This internship exceeded my expectations. The mentor support was particularly valuable for my career development.,positive
FB_00319,My mentor was very knowledgeable. The UX Design team provided excellent guidance throughout the program.,positive
FB_00320,I would highly recommend this program to others. The mentor support made it a wonderful experience.,positive
FB_00321,The company culture is collaborative and innovative. I felt supported and valued during my time here.,positive
FB_00322,My mentor was very knowledgeable. The UX Design team provided excellent guidance throughout the program.,positive
FB_00323,The internship was typical. I worked on machine learning models and gained experience in data visualization.,neutral
FB_00324,I would not recommend this internship. The management style made it difficult to benefit fully.,negative
FB_00325,The company culture is inclusive and welcoming. I felt supported and valued during my time here.,positive
FB_00326,My mentor was always available. The Marketing team provided excellent guidance throughout the program.,positive
FB_00327,It was a standard internship experience. I completed my assignments in UX Design.,neutral
FB_00328,The internship was standard. I worked on user research and gained experience in data analysis.,neutral
FB_00329,The internship was acceptable. I worked on user research and gained experience in data analysis.,neutral
FB_00330,I would highly recommend this program to others. The mentor support made it a wonderful experience.,positive
FB_00331,The company culture is collaborative and innovative. I felt supported and valued during my time here.,positive
FB_00332,The internship provided adequate learning opportunities. The learning opportunities was as expected.,neutral
FB_00333,The company culture is collaborative and innovative. I felt supported and valued during my time here.,positive
FB_00334,The company culture is supportive and growth-oriented. I felt supported and valued during my time here.,positive
FB_00335,The company culture is dynamic and exciting. I felt supported and valued during my time here.,positive
FB_00336,My experience was satisfactory. The Data Science program met the basic expectations.,neutral
FB_00337,My mentor was very knowledgeable. The Business Analytics team provided excellent guidance throughout the program.,positive
FB_00338,I would not recommend this internship. The communication channels made it difficult to benefit fully.,negative
FB_00339,The company culture is inclusive and welcoming. I felt supported and valued during my time here.,positive
FB_00340,This internship exceeded my expectations. The mentor support was particularly valuable for my career development.,positive
FB_00341,The company culture is collaborative and innovative. I felt supported and valued during my time here.,positive
FB_00342,"The Business Analytics program needs improvement. Specifically, the project assignments was disappointing.",negative
FB_00343,My mentor was excellent guide. The Data Science team provided excellent guidance throughout the program.,positive
FB_00344,This internship exceeded my expectations. The project variety was particularly valuable for my career development.,positive
FB_00345,The company culture is supportive and growth-oriented. I felt supported and valued during my time here.,positive
FB_00346,This internship exceeded my expectations. The mentor support was particularly valuable for my career development.,positive
FB_00347,This internship exceeded my expectations. The project variety was particularly valuable for my career development.,positive
FB_00348,The internship provided adequate learning opportunities. The mentor support was as expected.,neutral
FB_00349,The internship was satisfactory. I worked on marketing campaigns and gained experience in technical writing.,neutral
FB_00350,The company culture is dynamic and exciting. I felt supported and valued during my time here.,positive
FB_00351,The company culture is supportive and growth-oriented. I felt supported and valued during my time here.,positive
FB_00352,This internship exceeded my expectations. The mentor support was particularly valuable for my career development.,positive
FB_00353,I would highly recommend this program to others. The mentor support made it a wonderful experience.,positive
FB_00354,It was a standard internship experience. I completed my assignments in Research.,neutral
FB_00355,The internship experience was truly amazing. I really enjoyed working on software development and learned so much about project management.,positive
FB_00356,The internship experience was fantastic. I really enjoyed working on marketing campaigns and learned so much about data visualization.,positive
FB_00357,The internship provided adequate learning opportunities. The mentor support was as expected.,neutral
FB_00358,This internship exceeded my expectations. The mentor support was particularly valuable for my career development.,positive
FB_00359,This internship exceeded my expectations. The learning opportunities was particularly valuable for my career development.,positive
FB_00360,The internship was standard. I worked on machine learning models and gained experience in team collaboration.,neutral
FB_00361,It was a standard internship experience. I completed my assignments in Data Science.,neutral
